Title,"HE student enrolments by level of study, first year marker, mode of study, sex and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2015/16 to 2019/20,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-3,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-3.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2015/16 total,2332825,,,,,,
2016/17 total,2376975,,,,,,
2017/18 total,2415660,,,,,,
2018/19 total,2457150,,,,,,
2019/20 total,2532385,,,,,,
,,,,,,,
Last updated,Jan-21,,,,,,
,,,,,,,
Level of study,First year marker,Mode of study,Country of HE provider,Sex,Academic Year,Number,Percentage
Doctorate research,All,All,All,All,2015/16,98525,4%
Doctorate research,All,All,All,Female,2015/16,46820,4%
Doctorate research,All,All,All,Male,2015/16,51675,5%
Doctorate research,All,All,All,Other,2015/16,35,7%
Doctorate research,All,All,All,All,2016/17,100085,4%
Doctorate research,All,All,All,Female,2016/17,48040,4%
Doctorate research,All,All,All,Male,2016/17,51975,5%
Doctorate research,All,All,All,Other,2016/17,70,6%
Doctorate research,All,All,All,All,2017/18,100430,4%
Doctorate research,All,All,All,Female,2017/18,48475,4%
Doctorate research,All,All,All,Male,2017/18,51815,5%
Doctorate research,All,All,All,Other,2017/18,140,8%
Doctorate research,All,All,All,All,2018/19,102030,4%
Doctorate research,All,All,All,Female,2018/19,49465,4%
Doctorate research,All,All,All,Male,2018/19,52330,5%
Doctorate research,All,All,All,Other,2018/19,235,9%
Doctorate research,All,All,All,All,2019/20,101350,4%
Doctorate research,All,All,All,Female,2019/20,49655,3%
Doctorate research,All,All,All,Male,2019/20,51340,5%
Doctorate research,All,All,All,Other,2019/20,355,9%
Doctorate research,All,All,England,All,2015/16,80500,4%
Doctorate research,All,All,England,Female,2015/16,38270,4%
Doctorate research,All,All,England,Male,2015/16,42205,5%
Doctorate research,All,All,England,Other,2015/16,25,7%
Doctorate research,All,All,England,All,2016/17,82050,4%
Doctorate research,All,All,England,Female,2016/17,39475,4%
Doctorate research,All,All,England,Male,2016/17,42525,5%
Doctorate research,All,All,England,Other,2016/17,50,6%
Doctorate research,All,All,England,All,2017/18,82265,4%
Doctorate research,All,All,England,Female,2017/18,39735,4%
Doctorate research,All,All,England,Male,2017/18,42420,5%
Doctorate research,All,All,England,Other,2017/18,110,8%
Doctorate research,All,All,England,All,2018/19,83520,4%
Doctorate research,All,All,England,Female,2018/19,40535,4%
Doctorate research,All,All,England,Male,2018/19,42795,5%
Doctorate research,All,All,England,Other,2018/19,190,11%
Doctorate research,All,All,England,All,2019/20,82910,4%
Doctorate research,All,All,England,Female,2019/20,40650,3%
Doctorate research,All,All,England,Male,2019/20,41965,5%
Doctorate research,All,All,England,Other,2019/20,295,10%
Doctorate research,All,All,Northern Ireland,All,2015/16,2215,4%
Doctorate research,All,All,Northern Ireland,Female,2015/16,1125,4%
Doctorate research,All,All,Northern Ireland,Male,2015/16,1090,5%
Doctorate research,All,All,Northern Ireland,Other,2015/16,0,..
Doctorate research,All,All,Northern Ireland,All,2016/17,2215,4%
Doctorate research,All,All,Northern Ireland,Female,2016/17,1100,4%
Doctorate research,All,All,Northern Ireland,Male,2016/17,1115,5%
Doctorate research,All,All,Northern Ireland,Other,2016/17,0,..
Doctorate research,All,All,Northern Ireland,All,2017/18,2285,4%
Doctorate research,All,All,Northern Ireland,Female,2017/18,1175,4%
Doctorate research,All,All,Northern Ireland,Male,2017/18,1110,5%
Doctorate research,All,All,Northern Ireland,Other,2017/18,0,..
Doctorate research,All,All,Northern Ireland,All,2018/19,2230,4%
Doctorate research,All,All,Northern Ireland,Female,2018/19,1155,4%
Doctorate research,All,All,Northern Ireland,Male,2018/19,1070,5%
Doctorate research,All,All,Northern Ireland,Other,2018/19,0,..
Doctorate research,All,All,Northern Ireland,All,2019/20,2290,4%
Doctorate research,All,All,Northern Ireland,Female,2019/20,1190,3%
Doctorate research,All,All,Northern Ireland,Male,2019/20,1100,5%
Doctorate research,All,All,Northern Ireland,Other,2019/20,0,..
Doctorate research,All,All,Scotland,All,2015/16,11940,5%
Doctorate research,All,All,Scotland,Female,2015/16,5585,4%
Doctorate research,All,All,Scotland,Male,2015/16,6350,6%
Doctorate research,All,All,Scotland,Other,2015/16,10,7%
Doctorate research,All,All,Scotland,All,2016/17,11945,5%
Doctorate research,All,All,Scotland,Female,2016/17,5555,4%
Doctorate research,All,All,Scotland,Male,2016/17,6375,6%
Doctorate research,All,All,Scotland,Other,2016/17,20,8%
Doctorate research,All,All,Scotland,All,2017/18,12015,5%
Doctorate research,All,All,Scotland,Female,2017/18,5640,4%
Doctorate research,All,All,Scotland,Male,2017/18,6350,6%
Doctorate research,All,All,Scotland,Other,2017/18,25,7%
Doctorate research,All,All,Scotland,All,2018/19,12250,5%
Doctorate research,All,All,Scotland,Female,2018/19,5760,4%
Doctorate research,All,All,Scotland,Male,2018/19,6455,6%
Doctorate research,All,All,Scotland,Other,2018/19,35,5%
Doctorate research,All,All,Scotland,All,2019/20,12055,5%
Doctorate research,All,All,Scotland,Female,2019/20,5765,4%
Doctorate research,All,All,Scotland,Male,2019/20,6235,6%
Doctorate research,All,All,Scotland,Other,2019/20,50,6%
Doctorate research,All,All,Wales,All,2015/16,3870,3%
Doctorate research,All,All,Wales,Female,2015/16,1840,3%
Doctorate research,All,All,Wales,Male,2015/16,2030,3%
Doctorate research,All,All,Wales,Other,2015/16,0,0%
Doctorate research,All,All,Wales,All,2016/17,3880,3%
Doctorate research,All,All,Wales,Female,2016/17,1915,3%
Doctorate research,All,All,Wales,Male,2016/17,1960,3%
Doctorate research,All,All,Wales,Other,2016/17,5,4%
Doctorate research,All,All,Wales,All,2017/18,3860,3%
Doctorate research,All,All,Wales,Female,2017/18,1925,3%
Doctorate research,All,All,Wales,Male,2017/18,1930,3%
Doctorate research,All,All,Wales,Other,2017/18,5,4%
Doctorate research,All,All,Wales,All,2018/19,4035,3%
Doctorate research,All,All,Wales,Female,2018/19,2015,3%
Doctorate research,All,All,Wales,Male,2018/19,2010,3%
Doctorate research,All,All,Wales,Other,2018/19,10,6%
Doctorate research,All,All,Wales,All,2019/20,4095,3%
Doctorate research,All,All,Wales,Female,2019/20,2050,3%
Doctorate research,All,All,Wales,Male,2019/20,2040,3%
Doctorate research,All,All,Wales,Other,2019/20,5,3%
Doctorate research,All,Full-time,All,All,2015/16,74430,4%
Doctorate research,All,Full-time,All,Female,2015/16,34130,3%
Doctorate research,All,Full-time,All,Male,2015/16,40270,5%
Doctorate research,All,Full-time,All,Other,2015/16,25,7%
Doctorate research,All,Full-time,All,All,2016/17,75970,4%
Doctorate research,All,Full-time,All,Female,2016/17,35175,3%
Doctorate research,All,Full-time,All,Male,2016/17,40755,5%
Doctorate research,All,Full-time,All,Other,2016/17,45,6%
Doctorate research,All,Full-time,All,All,2017/18,76405,4%
Doctorate research,All,Full-time,All,Female,2017/18,35770,3%
Doctorate research,All,Full-time,All,Male,2017/18,40540,5%
Doctorate research,All,Full-time,All,Other,2017/18,100,8%
Doctorate research,All,Full-time,All,All,2018/19,78015,4%
Doctorate research,All,Full-time,All,Female,2018/19,36750,3%
Doctorate research,All,Full-time,All,Male,2018/19,41085,5%
Doctorate research,All,Full-time,All,Other,2018/19,180,10%
Doctorate research,All,Full-time,All,All,2019/20,78025,4%
Doctorate research,All,Full-time,All,Female,2019/20,37270,3%
Doctorate research,All,Full-time,All,Male,2019/20,40480,5%
Doctorate research,All,Full-time,All,Other,2019/20,275,11%
Doctorate research,All,Full-time,England,All,2015/16,60255,4%
Doctorate research,All,Full-time,England,Female,2015/16,27580,3%
