Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
Sex,Female,Full-time,England,2014/15,First class honours,31210
Sex,Female,Full-time,England,2014/15,Upper second class honours,73215
Sex,Female,Full-time,England,2014/15,Lower second class honours,26570
Sex,Female,Full-time,England,2014/15,Third class honours/Pass,4620
Sex,Female,Full-time,England,2014/15,Unclassified,4825
Sex,Female,Part-time,England,2014/15,First class honours,2695
Sex,Female,Part-time,England,2014/15,Upper second class honours,6230
Sex,Female,Part-time,England,2014/15,Lower second class honours,4950
Sex,Female,Part-time,England,2014/15,Third class honours/Pass,2610
Sex,Female,Part-time,England,2014/15,Unclassified,1330
Sex,Female,Full-time,Northern Ireland,2014/15,First class honours,885
Sex,Female,Full-time,Northern Ireland,2014/15,Upper second class honours,2380
Sex,Female,Full-time,Northern Ireland,2014/15,Lower second class honours,840
Sex,Female,Full-time,Northern Ireland,2014/15,Third class honours/Pass,95
Sex,Female,Full-time,Northern Ireland,2014/15,Unclassified,150
Sex,Female,Part-time,Northern Ireland,2014/15,First class honours,55
Sex,Female,Part-time,Northern Ireland,2014/15,Upper second class honours,220
Sex,Female,Part-time,Northern Ireland,2014/15,Lower second class honours,170
Sex,Female,Part-time,Northern Ireland,2014/15,Third class honours/Pass,35
Sex,Female,Part-time,Northern Ireland,2014/15,Unclassified,15
Sex,Female,Full-time,Scotland,2014/15,First class honours,2395
Sex,Female,Full-time,Scotland,2014/15,Upper second class honours,6385
Sex,Female,Full-time,Scotland,2014/15,Lower second class honours,2070
Sex,Female,Full-time,Scotland,2014/15,Third class honours/Pass,260
Sex,Female,Full-time,Scotland,2014/15,Unclassified,4705
Sex,Female,Part-time,Scotland,2014/15,First class honours,105
Sex,Female,Part-time,Scotland,2014/15,Upper second class honours,230
Sex,Female,Part-time,Scotland,2014/15,Lower second class honours,170
Sex,Female,Part-time,Scotland,2014/15,Third class honours/Pass,85
Sex,Female,Part-time,Scotland,2014/15,Unclassified,1225
Sex,Female,Full-time,Wales,2014/15,First class honours,2030
Sex,Female,Full-time,Wales,2014/15,Upper second class honours,4830
Sex,Female,Full-time,Wales,2014/15,Lower second class honours,2180
Sex,Female,Full-time,Wales,2014/15,Third class honours/Pass,350
Sex,Female,Full-time,Wales,2014/15,Unclassified,290
Sex,Female,Part-time,Wales,2014/15,First class honours,140
Sex,Female,Part-time,Wales,2014/15,Upper second class honours,265
Sex,Female,Part-time,Wales,2014/15,Lower second class honours,230
Sex,Female,Part-time,Wales,2014/15,Third class honours/Pass,100
Sex,Female,Part-time,Wales,2014/15,Unclassified,75
Sex,Female,Full-time,England,2015/16,First class honours,34940
Sex,Female,Full-time,England,2015/16,Upper second class honours,75170
Sex,Female,Full-time,England,2015/16,Lower second class honours,26535
Sex,Female,Full-time,England,2015/16,Third class honours/Pass,4680
Sex,Female,Full-time,England,2015/16,Unclassified,4855
Sex,Female,Part-time,England,2015/16,First class honours,2450
Sex,Female,Part-time,England,2015/16,Upper second class honours,5440
Sex,Female,Part-time,England,2015/16,Lower second class honours,4465
Sex,Female,Part-time,England,2015/16,Third class honours/Pass,2465
Sex,Female,Part-time,England,2015/16,Unclassified,1145
Sex,Female,Full-time,Northern Ireland,2015/16,First class honours,1065
Sex,Female,Full-time,Northern Ireland,2015/16,Upper second class honours,2490
Sex,Female,Full-time,Northern Ireland,2015/16,Lower second class honours,815
Sex,Female,Full-time,Northern Ireland,2015/16,Third class honours/Pass,80
Sex,Female,Full-time,Northern Ireland,2015/16,Unclassified,155
Sex,Female,Part-time,Northern Ireland,2015/16,First class honours,65
Sex,Female,Part-time,Northern Ireland,2015/16,Upper second class honours,220
Sex,Female,Part-time,Northern Ireland,2015/16,Lower second class honours,115
Sex,Female,Part-time,Northern Ireland,2015/16,Third class honours/Pass,40
Sex,Female,Part-time,Northern Ireland,2015/16,Unclassified,20
Sex,Female,Full-time,Scotland,2015/16,First class honours,2750
Sex,Female,Full-time,Scotland,2015/16,Upper second class honours,6775
Sex,Female,Full-time,Scotland,2015/16,Lower second class honours,2015
Sex,Female,Full-time,Scotland,2015/16,Third class honours/Pass,260
Sex,Female,Full-time,Scotland,2015/16,Unclassified,4670
Sex,Female,Part-time,Scotland,2015/16,First class honours,105
Sex,Female,Part-time,Scotland,2015/16,Upper second class honours,255
Sex,Female,Part-time,Scotland,2015/16,Lower second class honours,185
Sex,Female,Part-time,Scotland,2015/16,Third class honours/Pass,100
Sex,Female,Part-time,Scotland,2015/16,Unclassified,910
Sex,Female,Full-time,Wales,2015/16,First class honours,2220
Sex,Female,Full-time,Wales,2015/16,Upper second class honours,4765
Sex,Female,Full-time,Wales,2015/16,Lower second class honours,1875
Sex,Female,Full-time,Wales,2015/16,Third class honours/Pass,285
Sex,Female,Full-time,Wales,2015/16,Unclassified,235
Sex,Female,Part-time,Wales,2015/16,First class honours,115
Sex,Female,Part-time,Wales,2015/16,Upper second class honours,220
Sex,Female,Part-time,Wales,2015/16,Lower second class honours,145
Sex,Female,Part-time,Wales,2015/16,Third class honours/Pass,60
Sex,Female,Part-time,Wales,2015/16,Unclassified,60
Sex,Female,Full-time,England,2016/17,First class honours,40380
Sex,Female,Full-time,England,2016/17,Upper second class honours,76770
Sex,Female,Full-time,England,2016/17,Lower second class honours,25590
Sex,Female,Full-time,England,2016/17,Third class honours/Pass,4975
Sex,Female,Full-time,England,2016/17,Unclassified,4515
Sex,Female,Part-time,England,2016/17,First class honours,2535
Sex,Female,Part-time,England,2016/17,Upper second class honours,5185
Sex,Female,Part-time,England,2016/17,Lower second class honours,4260
Sex,Female,Part-time,England,2016/17,Third class honours/Pass,2440
Sex,Female,Part-time,England,2016/17,Unclassified,1030
Sex,Female,Full-time,Northern Ireland,2016/17,First class honours,1110
Sex,Female,Full-time,Northern Ireland,2016/17,Upper second class honours,2530
Sex,Female,Full-time,Northern Ireland,2016/17,Lower second class honours,810
Sex,Female,Full-time,Northern Ireland,2016/17,Third class honours/Pass,55
Sex,Female,Full-time,Northern Ireland,2016/17,Unclassified,150
Sex,Female,Part-time,Northern Ireland,2016/17,First class honours,60
Sex,Female,Part-time,Northern Ireland,2016/17,Upper second class honours,215
Sex,Female,Part-time,Northern Ireland,2016/17,Lower second class honours,125
Sex,Female,Part-time,Northern Ireland,2016/17,Third class honours/Pass,40
Sex,Female,Part-time,Northern Ireland,2016/17,Unclassified,15
Sex,Female,Full-time,Scotland,2016/17,First class honours,2865
Sex,Female,Full-time,Scotland,2016/17,Upper second class honours,6960
Sex,Female,Full-time,Scotland,2016/17,Lower second class honours,1885
Sex,Female,Full-time,Scotland,2016/17,Third class honours/Pass,300
Sex,Female,Full-time,Scotland,2016/17,Unclassified,4830
Sex,Female,Part-time,Scotland,2016/17,First class honours,115
Sex,Female,Part-time,Scotland,2016/17,Upper second class honours,285
Sex,Female,Part-time,Scotland,2016/17,Lower second class honours,210
Sex,Female,Part-time,Scotland,2016/17,Third class honours/Pass,100
Sex,Female,Part-time,Scotland,2016/17,Unclassified,820
