,Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
0,Sex,Female,Full-time,England,2014/15,First class honours,31210
1,Sex,Female,Full-time,England,2014/15,Upper second class honours,73215
2,Sex,Female,Full-time,England,2014/15,Lower second class honours,26570
3,Sex,Female,Full-time,England,2014/15,Third class honours/Pass,4620
4,Sex,Female,Full-time,England,2014/15,Unclassified,4825
5,Sex,Female,Part-time,England,2014/15,First class honours,2695
6,Sex,Female,Part-time,England,2014/15,Upper second class honours,6230
7,Sex,Female,Part-time,England,2014/15,Lower second class honours,4950
8,Sex,Female,Part-time,England,2014/15,Third class honours/Pass,2610
9,Sex,Female,Part-time,England,2014/15,Unclassified,1330
10,Sex,Female,Full-time,Northern Ireland,2014/15,First class honours,885
11,Sex,Female,Full-time,Northern Ireland,2014/15,Upper second class honours,2380
12,Sex,Female,Full-time,Northern Ireland,2014/15,Lower second class honours,840
13,Sex,Female,Full-time,Northern Ireland,2014/15,Third class honours/Pass,95
14,Sex,Female,Full-time,Northern Ireland,2014/15,Unclassified,150
15,Sex,Female,Part-time,Northern Ireland,2014/15,First class honours,55
16,Sex,Female,Part-time,Northern Ireland,2014/15,Upper second class honours,220
17,Sex,Female,Part-time,Northern Ireland,2014/15,Lower second class honours,170
18,Sex,Female,Part-time,Northern Ireland,2014/15,Third class honours/Pass,35
19,Sex,Female,Part-time,Northern Ireland,2014/15,Unclassified,15
20,Sex,Female,Full-time,Scotland,2014/15,First class honours,2395
21,Sex,Female,Full-time,Scotland,2014/15,Upper second class honours,6385
22,Sex,Female,Full-time,Scotland,2014/15,Lower second class honours,2070
23,Sex,Female,Full-time,Scotland,2014/15,Third class honours/Pass,260
24,Sex,Female,Full-time,Scotland,2014/15,Unclassified,4705
25,Sex,Female,Part-time,Scotland,2014/15,First class honours,105
26,Sex,Female,Part-time,Scotland,2014/15,Upper second class honours,230
27,Sex,Female,Part-time,Scotland,2014/15,Lower second class honours,170
28,Sex,Female,Part-time,Scotland,2014/15,Third class honours/Pass,85
29,Sex,Female,Part-time,Scotland,2014/15,Unclassified,1225
30,Sex,Female,Full-time,Wales,2014/15,First class honours,2030
31,Sex,Female,Full-time,Wales,2014/15,Upper second class honours,4830
32,Sex,Female,Full-time,Wales,2014/15,Lower second class honours,2180
33,Sex,Female,Full-time,Wales,2014/15,Third class honours/Pass,350
34,Sex,Female,Full-time,Wales,2014/15,Unclassified,290
35,Sex,Female,Part-time,Wales,2014/15,First class honours,140
36,Sex,Female,Part-time,Wales,2014/15,Upper second class honours,265
37,Sex,Female,Part-time,Wales,2014/15,Lower second class honours,230
38,Sex,Female,Part-time,Wales,2014/15,Third class honours/Pass,100
39,Sex,Female,Part-time,Wales,2014/15,Unclassified,75
40,Sex,Female,Full-time,England,2015/16,First class honours,34940
41,Sex,Female,Full-time,England,2015/16,Upper second class honours,75170
42,Sex,Female,Full-time,England,2015/16,Lower second class honours,26535
43,Sex,Female,Full-time,England,2015/16,Third class honours/Pass,4680
44,Sex,Female,Full-time,England,2015/16,Unclassified,4855
45,Sex,Female,Part-time,England,2015/16,First class honours,2450
46,Sex,Female,Part-time,England,2015/16,Upper second class honours,5440
47,Sex,Female,Part-time,England,2015/16,Lower second class honours,4465
48,Sex,Female,Part-time,England,2015/16,Third class honours/Pass,2465
49,Sex,Female,Part-time,England,2015/16,Unclassified,1145
50,Sex,Female,Full-time,Northern Ireland,2015/16,First class honours,1065
51,Sex,Female,Full-time,Northern Ireland,2015/16,Upper second class honours,2490
52,Sex,Female,Full-time,Northern Ireland,2015/16,Lower second class honours,815
53,Sex,Female,Full-time,Northern Ireland,2015/16,Third class honours/Pass,80
54,Sex,Female,Full-time,Northern Ireland,2015/16,Unclassified,155
55,Sex,Female,Part-time,Northern Ireland,2015/16,First class honours,65
56,Sex,Female,Part-time,Northern Ireland,2015/16,Upper second class honours,220
57,Sex,Female,Part-time,Northern Ireland,2015/16,Lower second class honours,115
58,Sex,Female,Part-time,Northern Ireland,2015/16,Third class honours/Pass,40
59,Sex,Female,Part-time,Northern Ireland,2015/16,Unclassified,20
60,Sex,Female,Full-time,Scotland,2015/16,First class honours,2750
61,Sex,Female,Full-time,Scotland,2015/16,Upper second class honours,6775
62,Sex,Female,Full-time,Scotland,2015/16,Lower second class honours,2015
63,Sex,Female,Full-time,Scotland,2015/16,Third class honours/Pass,260
64,Sex,Female,Full-time,Scotland,2015/16,Unclassified,4670
65,Sex,Female,Part-time,Scotland,2015/16,First class honours,105
66,Sex,Female,Part-time,Scotland,2015/16,Upper second class honours,255
67,Sex,Female,Part-time,Scotland,2015/16,Lower second class honours,185
68,Sex,Female,Part-time,Scotland,2015/16,Third class honours/Pass,100
69,Sex,Female,Part-time,Scotland,2015/16,Unclassified,910
70,Sex,Female,Full-time,Wales,2015/16,First class honours,2220
71,Sex,Female,Full-time,Wales,2015/16,Upper second class honours,4765
72,Sex,Female,Full-time,Wales,2015/16,Lower second class honours,1875
73,Sex,Female,Full-time,Wales,2015/16,Third class honours/Pass,285
74,Sex,Female,Full-time,Wales,2015/16,Unclassified,235
75,Sex,Female,Part-time,Wales,2015/16,First class honours,115
76,Sex,Female,Part-time,Wales,2015/16,Upper second class honours,220
77,Sex,Female,Part-time,Wales,2015/16,Lower second class honours,145
78,Sex,Female,Part-time,Wales,2015/16,Third class honours/Pass,60
79,Sex,Female,Part-time,Wales,2015/16,Unclassified,60
80,Sex,Female,Full-time,England,2016/17,First class honours,40380
81,Sex,Female,Full-time,England,2016/17,Upper second class honours,76770
