UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Qualification/Classification marker,Level of qualification/Degree classification,Number
,Total,All,All,2019/20,First degree classification,First class honours,140285
,Total,All,All,2019/20,First degree classification,Upper second class honours,189445
,Total,All,All,2019/20,First degree classification,Lower second class honours,60900
,Total,All,All,2019/20,First degree classification,Third class honours/Pass,11750
,Total,All,All,2019/20,First degree classification,Unclassified,20595
,Total,All,East Midlands,2019/20,First degree classification,First class honours,11285
,Total,All,East Midlands,2019/20,First degree classification,Upper second class honours,17430
,Total,All,East Midlands,2019/20,First degree classification,Lower second class honours,6025
,Total,All,East Midlands,2019/20,First degree classification,Third class honours/Pass,1165
,Total,All,East Midlands,2019/20,First degree classification,Unclassified,1110
,Total,All,East of England,2019/20,First degree classification,First class honours,7240
,Total,All,East of England,2019/20,First degree classification,Upper second class honours,9335
,Total,All,East of England,2019/20,First degree classification,Lower second class honours,3650
,Total,All,East of England,2019/20,First degree classification,Third class honours/Pass,780
,Total,All,East of England,2019/20,First degree classification,Unclassified,1015
,Total,All,London,2019/20,First degree classification,First class honours,23080
,Total,All,London,2019/20,First degree classification,Upper second class honours,26490
,Total,All,London,2019/20,First degree classification,Lower second class honours,9000
,Total,All,London,2019/20,First degree classification,Third class honours/Pass,1865
,Total,All,London,2019/20,First degree classification,Unclassified,2970
,Total,All,North East,2019/20,First degree classification,First class honours,7190
,Total,All,North East,2019/20,First degree classification,Upper second class honours,9590
,Total,All,North East,2019/20,First degree classification,Lower second class honours,2680
,Total,All,North East,2019/20,First degree classification,Third class honours/Pass,485
,Total,All,North East,2019/20,First degree classification,Unclassified,565
,Total,All,North West,2019/20,First degree classification,First class honours,16220
,Total,All,North West,2019/20,First degree classification,Upper second class honours,20645
,Total,All,North West,2019/20,First degree classification,Lower second class honours,7315
,Total,All,North West,2019/20,First degree classification,Third class honours/Pass,1615
,Total,All,North West,2019/20,First degree classification,Unclassified,1270
,Total,All,Northern Ireland,2019/20,First degree classification,First class honours,2815
,Total,All,Northern Ireland,2019/20,First degree classification,Upper second class honours,4650
,Total,All,Northern Ireland,2019/20,First degree classification,Lower second class honours,1215
,Total,All,Northern Ireland,2019/20,First degree classification,Third class honours/Pass,135
,Total,All,Northern Ireland,2019/20,First degree classification,Unclassified,285
,Total,All,Scotland,2019/20,First degree classification,First class honours,10220
,Total,All,Scotland,2019/20,First degree classification,Upper second class honours,14295
,Total,All,Scotland,2019/20,First degree classification,Lower second class honours,3605
,Total,All,Scotland,2019/20,First degree classification,Third class honours/Pass,680
,Total,All,Scotland,2019/20,First degree classification,Unclassified,8495
,Total,All,South East,2019/20,First degree classification,First class honours,16485
,Total,All,South East,2019/20,First degree classification,Upper second class honours,25485
,Total,All,South East,2019/20,First degree classification,Lower second class honours,8155
,Total,All,South East,2019/20,First degree classification,Third class honours/Pass,1635
,Total,All,South East,2019/20,First degree classification,Unclassified,1330
,Total,All,South West,2019/20,First degree classification,First class honours,11370
,Total,All,South West,2019/20,First degree classification,Upper second class honours,17135
,Total,All,South West,2019/20,First degree classification,Lower second class honours,4590
,Total,All,South West,2019/20,First degree classification,Third class honours/Pass,615
,Total,All,South West,2019/20,First degree classification,Unclassified,1005
,Total,All,Wales,2019/20,First degree classification,First class honours,7555
,Total,All,Wales,2019/20,First degree classification,Upper second class honours,9725
,Total,All,Wales,2019/20,First degree classification,Lower second class honours,3585
,Total,All,Wales,2019/20,First degree classification,Third class honours/Pass,615
,Total,All,Wales,2019/20,First degree classification,Unclassified,485
,Total,All,West Midlands,2019/20,First degree classification,First class honours,13215
,Total,All,West Midlands,2019/20,First degree classification,Upper second class honours,17125
,Total,All,West Midlands,2019/20,First degree classification,Lower second class honours,5940
,Total,All,West Midlands,2019/20,First degree classification,Third class honours/Pass,1305
,Total,All,West Midlands,2019/20,First degree classification,Unclassified,1105
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,First class honours,13605
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Upper second class honours,17530
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Lower second class honours,5140
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Third class honours/Pass,850
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Unclassified,960
,Total,England,All,2019/20,First degree classification,First class honours,119695
,Total,England,All,2019/20,First degree classification,Upper second class honours,160775
,Total,England,All,2019/20,First degree classification,Lower second class honours,52495
,Total,England,All,2019/20,First degree classification,Third class honours/Pass,10320
,Total,England,All,2019/20,First degree classification,Unclassified,11325
,Total,England,East Midlands,2019/20,First degree classification,First class honours,11285
,Total,England,East Midlands,2019/20,First degree classification,Upper second class honours,17430
,Total,England,East Midlands,2019/20,First degree classification,Lower second class honours,6025
,Total,England,East Midlands,2019/20,First degree classification,Third class honours/Pass,1165
,Total,England,East Midlands,2019/20,First degree classification,Unclassified,1110
,Total,England,East of England,2019/20,First degree classification,First class honours,7240
,Total,England,East of England,2019/20,First degree classification,Upper second class honours,9335
,Total,England,East of England,2019/20,First degree classification,Lower second class honours,3650
,Total,England,East of England,2019/20,First degree classification,Third class honours/Pass,780
,Total,England,East of England,2019/20,First degree classification,Unclassified,1015
,Total,England,London,2019/20,First degree classification,First class honours,23080
,Total,England,London,2019/20,First degree classification,Upper second class honours,26490
,Total,England,London,2019/20,First degree classification,Lower second class honours,9000
,Total,England,London,2019/20,First degree classification,Third class honours/Pass,1865
,Total,England,London,2019/20,First degree classification,Unclassified,2970
,Total,England,North East,2019/20,First degree classification,First class honours,7190
