,Age Group,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
1230,20 and under,Full-time,England,2014/15,First class honours,1530
1231,20 and under,Full-time,England,2014/15,Upper second class honours,4355
1232,20 and under,Full-time,England,2014/15,Lower second class honours,1480
1233,20 and under,Full-time,England,2014/15,Third class honours/Pass,165
1234,20 and under,Full-time,England,2014/15,Unclassified,25
1235,20 and under,Part-time,England,2014/15,First class honours,5
1236,20 and under,Part-time,England,2014/15,Upper second class honours,5
1237,20 and under,Part-time,England,2014/15,Lower second class honours,5
1238,20 and under,Part-time,England,2014/15,Third class honours/Pass,5
1239,20 and under,Part-time,England,2014/15,Unclassified,5
1240,20 and under,Full-time,Northern Ireland,2014/15,First class honours,5
1241,20 and under,Full-time,Northern Ireland,2014/15,Upper second class honours,5
1242,20 and under,Full-time,Northern Ireland,2014/15,Lower second class honours,0
1243,20 and under,Full-time,Northern Ireland,2014/15,Third class honours/Pass,5
1244,20 and under,Full-time,Northern Ireland,2014/15,Unclassified,0
1245,20 and under,Part-time,Northern Ireland,2014/15,First class honours,0
1246,20 and under,Part-time,Northern Ireland,2014/15,Upper second class honours,0
1247,20 and under,Part-time,Northern Ireland,2014/15,Lower second class honours,0
1248,20 and under,Part-time,Northern Ireland,2014/15,Third class honours/Pass,0
1249,20 and under,Part-time,Northern Ireland,2014/15,Unclassified,0
1250,20 and under,Full-time,Scotland,2014/15,First class honours,45
1251,20 and under,Full-time,Scotland,2014/15,Upper second class honours,75
1252,20 and under,Full-time,Scotland,2014/15,Lower second class honours,25
1253,20 and under,Full-time,Scotland,2014/15,Third class honours/Pass,15
1254,20 and under,Full-time,Scotland,2014/15,Unclassified,675
1255,20 and under,Part-time,Scotland,2014/15,First class honours,0
1256,20 and under,Part-time,Scotland,2014/15,Upper second class honours,0
1257,20 and under,Part-time,Scotland,2014/15,Lower second class honours,0
1258,20 and under,Part-time,Scotland,2014/15,Third class honours/Pass,0
1259,20 and under,Part-time,Scotland,2014/15,Unclassified,10
1260,20 and under,Full-time,Wales,2014/15,First class honours,80
1261,20 and under,Full-time,Wales,2014/15,Upper second class honours,295
1262,20 and under,Full-time,Wales,2014/15,Lower second class honours,130
1263,20 and under,Full-time,Wales,2014/15,Third class honours/Pass,10
1264,20 and under,Full-time,Wales,2014/15,Unclassified,0
1265,20 and under,Part-time,Wales,2014/15,First class honours,0
1266,20 and under,Part-time,Wales,2014/15,Upper second class honours,0
1267,20 and under,Part-time,Wales,2014/15,Lower second class honours,0
1268,20 and under,Part-time,Wales,2014/15,Third class honours/Pass,0
1269,20 and under,Part-time,Wales,2014/15,Unclassified,0
1270,20 and under,Full-time,England,2015/16,First class honours,1640
1271,20 and under,Full-time,England,2015/16,Upper second class honours,4355
1272,20 and under,Full-time,England,2015/16,Lower second class honours,1515
1273,20 and under,Full-time,England,2015/16,Third class honours/Pass,190
1274,20 and under,Full-time,England,2015/16,Unclassified,35
1275,20 and under,Part-time,England,2015/16,First class honours,5
1276,20 and under,Part-time,England,2015/16,Upper second class honours,5
1277,20 and under,Part-time,England,2015/16,Lower second class honours,5
1278,20 and under,Part-time,England,2015/16,Third class honours/Pass,5
1279,20 and under,Part-time,England,2015/16,Unclassified,0
1280,20 and under,Full-time,Northern Ireland,2015/16,First class honours,0
1281,20 and under,Full-time,Northern Ireland,2015/16,Upper second class honours,15
1282,20 and under,Full-time,Northern Ireland,2015/16,Lower second class honours,0
1283,20 and under,Full-time,Northern Ireland,2015/16,Third class honours/Pass,0
1284,20 and under,Full-time,Northern Ireland,2015/16,Unclassified,0
1285,20 and under,Part-time,Northern Ireland,2015/16,First class honours,0
1286,20 and under,Part-time,Northern Ireland,2015/16,Upper second class honours,0
1287,20 and under,Part-time,Northern Ireland,2015/16,Lower second class honours,0
1288,20 and under,Part-time,Northern Ireland,2015/16,Third class honours/Pass,0
1289,20 and under,Part-time,Northern Ireland,2015/16,Unclassified,0
1290,20 and under,Full-time,Scotland,2015/16,First class honours,35
1291,20 and under,Full-time,Scotland,2015/16,Upper second class honours,90
1292,20 and under,Full-time,Scotland,2015/16,Lower second class honours,30
1293,20 and under,Full-time,Scotland,2015/16,Third class honours/Pass,20
1294,20 and under,Full-time,Scotland,2015/16,Unclassified,660
1295,20 and under,Part-time,Scotland,2015/16,First class honours,0
1296,20 and under,Part-time,Scotland,2015/16,Upper second class honours,0
1297,20 and under,Part-time,Scotland,2015/16,Lower second class honours,0
1298,20 and under,Part-time,Scotland,2015/16,Third class honours/Pass,0
1299,20 and under,Part-time,Scotland,2015/16,Unclassified,5
1300,20 and under,Full-time,Wales,2015/16,First class honours,115
1301,20 and under,Full-time,Wales,2015/16,Upper second class honours,295
1302,20 and under,Full-time,Wales,2015/16,Lower second class honours,110
1303,20 and under,Full-time,Wales,2015/16,Third class honours/Pass,10
1304,20 and under,Full-time,Wales,2015/16,Unclassified,5
1305,20 and under,Part-time,Wales,2015/16,First class honours,0
1306,20 and under,Part-time,Wales,2015/16,Upper second class honours,0
1307,20 and under,Part-time,Wales,2015/16,Lower second class honours,0
1308,20 and under,Part-time,Wales,2015/16,Third class honours/Pass,0
1309,20 and under,Part-time,Wales,2015/16,Unclassified,0
1310,20 and under,Full-time,England,2016/17,First class honours,1985
1311,20 and under,Full-time,England,2016/17,Upper second class honours,4405
1312,20 and under,Full-time,England,2016/17,Lower second class honours,1335
1313,20 and under,Full-time,England,2016/17,Third class honours/Pass,170
1314,20 and under,Full-time,England,2016/17,Unclassified,30
1315,20 and under,Part-time,England,2016/17,First class honours,5
1316,20 and under,Part-time,England,2016/17,Upper second class honours,5
1317,20 and under,Part-time,England,2016/17,Lower second class honours,5
1318,20 and under,Part-time,England,2016/17,Third class honours/Pass,0
1319,20 and under,Part-time,England,2016/17,Unclassified,0
1320,20 and under,Full-time,Northern Ireland,2016/17,First class honours,5
1321,20 and under,Full-time,Northern Ireland,2016/17,Upper second class honours,5
1322,20 and under,Full-time,Northern Ireland,2016/17,Lower second class honours,0
1323,20 and under,Full-time,Northern Ireland,2016/17,Third class honours/Pass,0
1324,20 and under,Full-time,Northern Ireland,2016/17,Unclassified,0
1325,20 and under,Part-time,Northern Ireland,2016/17,First class honours,0
1326,20 and under,Part-time,Northern Ireland,2016/17,Upper second class honours,0
1327,20 and under,Part-time,Northern Ireland,2016/17,Lower second class honours,0
1328,20 and under,Part-time,Northern Ireland,2016/17,Third class honours/Pass,0
1329,20 and under,Part-time,Northern Ireland,2016/17,Unclassified,0
1330,20 and under,Full-time,Scotland,2016/17,First class honours,45
1331,20 and under,Full-time,Scotland,2016/17,Upper second class honours,70
1332,20 and under,Full-time,Scotland,2016/17,Lower second class honours,20
1333,20 and under,Full-time,Scotland,2016/17,Third class honours/Pass,25
1334,20 and under,Full-time,Scotland,2016/17,Unclassified,590
1335,20 and under,Part-time,Scotland,2016/17,First class honours,0
1336,20 and under,Part-time,Scotland,2016/17,Upper second class honours,0
1337,20 and under,Part-time,Scotland,2016/17,Lower second class honours,0
1338,20 and under,Part-time,Scotland,2016/17,Third class honours/Pass,0
1339,20 and under,Part-time,Scotland,2016/17,Unclassified,0
1340,20 and under,Full-time,Wales,2016/17,First class honours,130
1341,20 and under,Full-time,Wales,2016/17,Upper second class honours,295
1342,20 and under,Full-time,Wales,2016/17,Lower second class honours,95
1343,20 and under,Full-time,Wales,2016/17,Third class honours/Pass,10
1344,20 and under,Full-time,Wales,2016/17,Unclassified,5
1345,20 and under,Full-time,England,2017/18,First class honours,2115
1346,20 and under,Full-time,England,2017/18,Upper second class honours,4490
1347,20 and under,Full-time,England,2017/18,Lower second class honours,1290
1348,20 and under,Full-time,England,2017/18,Third class honours/Pass,190
1349,20 and under,Full-time,England,2017/18,Unclassified,25
1350,20 and under,Part-time,England,2017/18,First class honours,0
1351,20 and under,Part-time,England,2017/18,Upper second class honours,10
1352,20 and under,Part-time,England,2017/18,Lower second class honours,0
1353,20 and under,Part-time,England,2017/18,Third class honours/Pass,0
1354,20 and under,Part-time,England,2017/18,Unclassified,0
1355,20 and under,Full-time,Northern Ireland,2017/18,First class honours,5
1356,20 and under,Full-time,Northern Ireland,2017/18,Upper second class honours,5
1357,20 and under,Full-time,Northern Ireland,2017/18,Lower second class honours,0
1358,20 and under,Full-time,Northern Ireland,2017/18,Third class honours/Pass,0
1359,20 and under,Full-time,Northern Ireland,2017/18,Unclassified,0
1360,20 and under,Part-time,Northern Ireland,2017/18,First class honours,0
1361,20 and under,Part-time,Northern Ireland,2017/18,Upper second class honours,0
1362,20 and under,Part-time,Northern Ireland,2017/18,Lower second class honours,0
1363,20 and under,Part-time,Northern Ireland,2017/18,Third class honours/Pass,0
1364,20 and under,Part-time,Northern Ireland,2017/18,Unclassified,0
1365,20 and under,Full-time,Scotland,2017/18,First class honours,45
1366,20 and under,Full-time,Scotland,2017/18,Upper second class honours,90
1367,20 and under,Full-time,Scotland,2017/18,Lower second class honours,30
1368,20 and under,Full-time,Scotland,2017/18,Third class honours/Pass,20
1369,20 and under,Full-time,Scotland,2017/18,Unclassified,595
1370,20 and under,Part-time,Scotland,2017/18,First class honours,0
1371,20 and under,Part-time,Scotland,2017/18,Upper second class honours,0
1372,20 and under,Part-time,Scotland,2017/18,Lower second class honours,0
1373,20 and under,Part-time,Scotland,2017/18,Third class honours/Pass,0
1374,20 and under,Part-time,Scotland,2017/18,Unclassified,5
1375,20 and under,Full-time,Wales,2017/18,First class honours,125
1376,20 and under,Full-time,Wales,2017/18,Upper second class honours,310
1377,20 and under,Full-time,Wales,2017/18,Lower second class honours,100
1378,20 and under,Full-time,Wales,2017/18,Third class honours/Pass,10
1379,20 and under,Full-time,Wales,2017/18,Unclassified,0
1380,20 and under,Part-time,Wales,2017/18,First class honours,0
1381,20 and under,Part-time,Wales,2017/18,Upper second class honours,0
1382,20 and under,Part-time,Wales,2017/18,Lower second class honours,0
1383,20 and under,Part-time,Wales,2017/18,Third class honours/Pass,0
1384,20 and under,Part-time,Wales,2017/18,Unclassified,0
1385,20 and under,Full-time,England,2018/19,First class honours,2130
1386,20 and under,Full-time,England,2018/19,Upper second class honours,4500
1387,20 and under,Full-time,England,2018/19,Lower second class honours,1355
1388,20 and under,Full-time,England,2018/19,Third class honours/Pass,170
1389,20 and under,Full-time,England,2018/19,Unclassified,30
1390,20 and under,Part-time,England,2018/19,First class honours,5
1391,20 and under,Part-time,England,2018/19,Upper second class honours,5
1392,20 and under,Part-time,England,2018/19,Lower second class honours,5
1393,20 and under,Part-time,England,2018/19,Third class honours/Pass,0
1394,20 and under,Part-time,England,2018/19,Unclassified,0
1395,20 and under,Full-time,Northern Ireland,2018/19,First class honours,5
1396,20 and under,Full-time,Northern Ireland,2018/19,Upper second class honours,5
1397,20 and under,Full-time,Northern Ireland,2018/19,Lower second class honours,5
1398,20 and under,Full-time,Northern Ireland,2018/19,Third class honours/Pass,5
1399,20 and under,Full-time,Northern Ireland,2018/19,Unclassified,0
1400,20 and under,Full-time,Scotland,2018/19,First class honours,30
1401,20 and under,Full-time,Scotland,2018/19,Upper second class honours,70
1402,20 and under,Full-time,Scotland,2018/19,Lower second class honours,30
1403,20 and under,Full-time,Scotland,2018/19,Third class honours/Pass,10
1404,20 and under,Full-time,Scotland,2018/19,Unclassified,630
1405,20 and under,Part-time,Scotland,2018/19,First class honours,0
1406,20 and under,Part-time,Scotland,2018/19,Upper second class honours,0
1407,20 and under,Part-time,Scotland,2018/19,Lower second class honours,0
1408,20 and under,Part-time,Scotland,2018/19,Third class honours/Pass,0
1409,20 and under,Part-time,Scotland,2018/19,Unclassified,0
1410,20 and under,Full-time,Wales,2018/19,First class honours,130
1411,20 and under,Full-time,Wales,2018/19,Upper second class honours,295
1412,20 and under,Full-time,Wales,2018/19,Lower second class honours,95
1413,20 and under,Full-time,Wales,2018/19,Third class honours/Pass,5
1414,20 and under,Full-time,Wales,2018/19,Unclassified,0
1415,20 and under,Part-time,Wales,2018/19,First class honours,0
1416,20 and under,Part-time,Wales,2018/19,Upper second class honours,0
1417,20 and under,Part-time,Wales,2018/19,Lower second class honours,0
1418,20 and under,Part-time,Wales,2018/19,Third class honours/Pass,0
1419,20 and under,Part-time,Wales,2018/19,Unclassified,0
1420,20 and under,Full-time,England,2019/20,First class honours,2675
1421,20 and under,Full-time,England,2019/20,Upper second class honours,4180
1422,20 and under,Full-time,England,2019/20,Lower second class honours,985
1423,20 and under,Full-time,England,2019/20,Third class honours/Pass,100
1424,20 and under,Full-time,England,2019/20,Unclassified,25
1425,20 and under,Part-time,England,2019/20,First class honours,0
1426,20 and under,Part-time,England,2019/20,Upper second class honours,0
1427,20 and under,Part-time,England,2019/20,Lower second class honours,0
1428,20 and under,Part-time,England,2019/20,Third class honours/Pass,0
1429,20 and under,Part-time,England,2019/20,Unclassified,0
1430,20 and under,Full-time,Northern Ireland,2019/20,First class honours,5
1431,20 and under,Full-time,Northern Ireland,2019/20,Upper second class honours,5
1432,20 and under,Full-time,Northern Ireland,2019/20,Lower second class honours,0
1433,20 and under,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
1434,20 and under,Full-time,Northern Ireland,2019/20,Unclassified,0
1435,20 and under,Full-time,Scotland,2019/20,First class honours,45
1436,20 and under,Full-time,Scotland,2019/20,Upper second class honours,65
1437,20 and under,Full-time,Scotland,2019/20,Lower second class honours,25
1438,20 and under,Full-time,Scotland,2019/20,Third class honours/Pass,15
1439,20 and under,Full-time,Scotland,2019/20,Unclassified,230
1440,20 and under,Part-time,Scotland,2019/20,First class honours,0
1441,20 and under,Part-time,Scotland,2019/20,Upper second class honours,0
1442,20 and under,Part-time,Scotland,2019/20,Lower second class honours,0
1443,20 and under,Part-time,Scotland,2019/20,Third class honours/Pass,0
1444,20 and under,Part-time,Scotland,2019/20,Unclassified,0
1445,20 and under,Full-time,Wales,2019/20,First class honours,170
1446,20 and under,Full-time,Wales,2019/20,Upper second class honours,260
1447,20 and under,Full-time,Wales,2019/20,Lower second class honours,75
1448,20 and under,Full-time,Wales,2019/20,Third class honours/Pass,5
1449,20 and under,Full-time,Wales,2019/20,Unclassified,0
1450,20 and under,All,England,2014/15,First class honours,1535
1451,20 and under,All,England,2014/15,Upper second class honours,4360
1452,20 and under,All,England,2014/15,Lower second class honours,1485
1453,20 and under,All,England,2014/15,Third class honours/Pass,170
1454,20 and under,All,England,2014/15,Unclassified,30
1455,20 and under,All,Northern Ireland,2014/15,First class honours,5
1456,20 and under,All,Northern Ireland,2014/15,Upper second class honours,10
1457,20 and under,All,Northern Ireland,2014/15,Lower second class honours,0
1458,20 and under,All,Northern Ireland,2014/15,Third class honours/Pass,5
1459,20 and under,All,Northern Ireland,2014/15,Unclassified,0
1460,20 and under,All,Scotland,2014/15,First class honours,45
1461,20 and under,All,Scotland,2014/15,Upper second class honours,75
1462,20 and under,All,Scotland,2014/15,Lower second class honours,25
1463,20 and under,All,Scotland,2014/15,Third class honours/Pass,15
1464,20 and under,All,Scotland,2014/15,Unclassified,685
1465,20 and under,All,Wales,2014/15,First class honours,85
1466,20 and under,All,Wales,2014/15,Upper second class honours,300
1467,20 and under,All,Wales,2014/15,Lower second class honours,130
1468,20 and under,All,Wales,2014/15,Third class honours/Pass,10
1469,20 and under,All,Wales,2014/15,Unclassified,0
1470,20 and under,All,England,2015/16,First class honours,1645
1471,20 and under,All,England,2015/16,Upper second class honours,4360
1472,20 and under,All,England,2015/16,Lower second class honours,1520
1473,20 and under,All,England,2015/16,Third class honours/Pass,195
1474,20 and under,All,England,2015/16,Unclassified,35
1475,20 and under,All,Northern Ireland,2015/16,First class honours,0
1476,20 and under,All,Northern Ireland,2015/16,Upper second class honours,15
1477,20 and under,All,Northern Ireland,2015/16,Lower second class honours,0
1478,20 and under,All,Northern Ireland,2015/16,Third class honours/Pass,0
1479,20 and under,All,Northern Ireland,2015/16,Unclassified,0
1480,20 and under,All,Scotland,2015/16,First class honours,35
1481,20 and under,All,Scotland,2015/16,Upper second class honours,90
1482,20 and under,All,Scotland,2015/16,Lower second class honours,30
1483,20 and under,All,Scotland,2015/16,Third class honours/Pass,20
1484,20 and under,All,Scotland,2015/16,Unclassified,665
1485,20 and under,All,Wales,2015/16,First class honours,120
1486,20 and under,All,Wales,2015/16,Upper second class honours,295
1487,20 and under,All,Wales,2015/16,Lower second class honours,110
1488,20 and under,All,Wales,2015/16,Third class honours/Pass,10
1489,20 and under,All,Wales,2015/16,Unclassified,5
1490,20 and under,All,England,2016/17,First class honours,1990
1491,20 and under,All,England,2016/17,Upper second class honours,4410
1492,20 and under,All,England,2016/17,Lower second class honours,1340
1493,20 and under,All,England,2016/17,Third class honours/Pass,170
