,Ethnicity,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
4030,White,Full-time,England,2014/15,First class honours,45520
4031,White,Full-time,England,2014/15,Upper second class honours,94730
4032,White,Full-time,England,2014/15,Lower second class honours,31460
4033,White,Full-time,England,2014/15,Third class honours/Pass,4965
4034,White,Full-time,England,2014/15,Unclassified,5835
4035,White,Part-time,England,2014/15,First class honours,4345
4036,White,Part-time,England,2014/15,Upper second class honours,8225
4037,White,Part-time,England,2014/15,Lower second class honours,5160
4038,White,Part-time,England,2014/15,Third class honours/Pass,2370
4039,White,Part-time,England,2014/15,Unclassified,1680
4040,White,Full-time,Northern Ireland,2014/15,First class honours,1485
4041,White,Full-time,Northern Ireland,2014/15,Upper second class honours,3885
4042,White,Full-time,Northern Ireland,2014/15,Lower second class honours,1545
4043,White,Full-time,Northern Ireland,2014/15,Third class honours/Pass,195
4044,White,Full-time,Northern Ireland,2014/15,Unclassified,250
4045,White,Part-time,Northern Ireland,2014/15,First class honours,110
4046,White,Part-time,Northern Ireland,2014/15,Upper second class honours,365
4047,White,Part-time,Northern Ireland,2014/15,Lower second class honours,290
4048,White,Part-time,Northern Ireland,2014/15,Third class honours/Pass,75
4049,White,Part-time,Northern Ireland,2014/15,Unclassified,25
4050,White,Full-time,Scotland,2014/15,First class honours,4080
4051,White,Full-time,Scotland,2014/15,Upper second class honours,10040
4052,White,Full-time,Scotland,2014/15,Lower second class honours,3450
4053,White,Full-time,Scotland,2014/15,Third class honours/Pass,525
4054,White,Full-time,Scotland,2014/15,Unclassified,6555
4055,White,Part-time,Scotland,2014/15,First class honours,190
4056,White,Part-time,Scotland,2014/15,Upper second class honours,380
4057,White,Part-time,Scotland,2014/15,Lower second class honours,285
4058,White,Part-time,Scotland,2014/15,Third class honours/Pass,135
4059,White,Part-time,Scotland,2014/15,Unclassified,1685
4060,White,Full-time,Wales,2014/15,First class honours,3165
4061,White,Full-time,Wales,2014/15,Upper second class honours,7485
4062,White,Full-time,Wales,2014/15,Lower second class honours,3570
4063,White,Full-time,Wales,2014/15,Third class honours/Pass,590
4064,White,Full-time,Wales,2014/15,Unclassified,435
4065,White,Part-time,Wales,2014/15,First class honours,240
4066,White,Part-time,Wales,2014/15,Upper second class honours,445
4067,White,Part-time,Wales,2014/15,Lower second class honours,310
4068,White,Part-time,Wales,2014/15,Third class honours/Pass,155
4069,White,Part-time,Wales,2014/15,Unclassified,100
4070,White,Full-time,England,2015/16,First class honours,49520
4071,White,Full-time,England,2015/16,Upper second class honours,96200
4072,White,Full-time,England,2015/16,Lower second class honours,30670
4073,White,Full-time,England,2015/16,Third class honours/Pass,4850
4074,White,Full-time,England,2015/16,Unclassified,5795
4075,White,Part-time,England,2015/16,First class honours,4030
4076,White,Part-time,England,2015/16,Upper second class honours,7200
4077,White,Part-time,England,2015/16,Lower second class honours,4770
4078,White,Part-time,England,2015/16,Third class honours/Pass,2315
4079,White,Part-time,England,2015/16,Unclassified,1470
4080,White,Full-time,Northern Ireland,2015/16,First class honours,1750
4081,White,Full-time,Northern Ireland,2015/16,Upper second class honours,4040
4082,White,Full-time,Northern Ireland,2015/16,Lower second class honours,1570
4083,White,Full-time,Northern Ireland,2015/16,Third class honours/Pass,195
4084,White,Full-time,Northern Ireland,2015/16,Unclassified,230
4085,White,Part-time,Northern Ireland,2015/16,First class honours,130
4086,White,Part-time,Northern Ireland,2015/16,Upper second class honours,350
4087,White,Part-time,Northern Ireland,2015/16,Lower second class honours,200
4088,White,Part-time,Northern Ireland,2015/16,Third class honours/Pass,75
4089,White,Part-time,Northern Ireland,2015/16,Unclassified,35
4090,White,Full-time,Scotland,2015/16,First class honours,4595
4091,White,Full-time,Scotland,2015/16,Upper second class honours,10475
4092,White,Full-time,Scotland,2015/16,Lower second class honours,3305
4093,White,Full-time,Scotland,2015/16,Third class honours/Pass,525
4094,White,Full-time,Scotland,2015/16,Unclassified,6560
4095,White,Part-time,Scotland,2015/16,First class honours,190
4096,White,Part-time,Scotland,2015/16,Upper second class honours,425
4097,White,Part-time,Scotland,2015/16,Lower second class honours,310
4098,White,Part-time,Scotland,2015/16,Third class honours/Pass,135
4099,White,Part-time,Scotland,2015/16,Unclassified,1330
4100,White,Full-time,Wales,2015/16,First class honours,3450
4101,White,Full-time,Wales,2015/16,Upper second class honours,7410
4102,White,Full-time,Wales,2015/16,Lower second class honours,3285
4103,White,Full-time,Wales,2015/16,Third class honours/Pass,480
4104,White,Full-time,Wales,2015/16,Unclassified,355
4105,White,Part-time,Wales,2015/16,First class honours,250
4106,White,Part-time,Wales,2015/16,Upper second class honours,365
4107,White,Part-time,Wales,2015/16,Lower second class honours,220
4108,White,Part-time,Wales,2015/16,Third class honours/Pass,115
4109,White,Part-time,Wales,2015/16,Unclassified,80
4110,White,Full-time,England,2016/17,First class honours,56505
4111,White,Full-time,England,2016/17,Upper second class honours,97520
4112,White,Full-time,England,2016/17,Lower second class honours,29660
4113,White,Full-time,England,2016/17,Third class honours/Pass,5010
4114,White,Full-time,England,2016/17,Unclassified,5485
4115,White,Part-time,England,2016/17,First class honours,4190
4116,White,Part-time,England,2016/17,Upper second class honours,7045
4117,White,Part-time,England,2016/17,Lower second class honours,4725
4118,White,Part-time,England,2016/17,Third class honours/Pass,2330
4119,White,Part-time,England,2016/17,Unclassified,1260
4120,White,Full-time,Northern Ireland,2016/17,First class honours,1840
4121,White,Full-time,Northern Ireland,2016/17,Upper second class honours,4210
4122,White,Full-time,Northern Ireland,2016/17,Lower second class honours,1515
4123,White,Full-time,Northern Ireland,2016/17,Third class honours/Pass,155
4124,White,Full-time,Northern Ireland,2016/17,Unclassified,225
4125,White,Part-time,Northern Ireland,2016/17,First class honours,130
4126,White,Part-time,Northern Ireland,2016/17,Upper second class honours,365
4127,White,Part-time,Northern Ireland,2016/17,Lower second class honours,200
4128,White,Part-time,Northern Ireland,2016/17,Third class honours/Pass,65
4129,White,Part-time,Northern Ireland,2016/17,Unclassified,25
4130,White,Full-time,Scotland,2016/17,First class honours,4800
4131,White,Full-time,Scotland,2016/17,Upper second class honours,10685
4132,White,Full-time,Scotland,2016/17,Lower second class honours,3275
4133,White,Full-time,Scotland,2016/17,Third class honours/Pass,520
4134,White,Full-time,Scotland,2016/17,Unclassified,6535
4135,White,Part-time,Scotland,2016/17,First class honours,210
4136,White,Part-time,Scotland,2016/17,Upper second class honours,465
4137,White,Part-time,Scotland,2016/17,Lower second class honours,355
4138,White,Part-time,Scotland,2016/17,Third class honours/Pass,145
4139,White,Part-time,Scotland,2016/17,Unclassified,1205
4140,White,Full-time,Wales,2016/17,First class honours,4035
4141,White,Full-time,Wales,2016/17,Upper second class honours,7660
4142,White,Full-time,Wales,2016/17,Lower second class honours,3150
4143,White,Full-time,Wales,2016/17,Third class honours/Pass,510
4144,White,Full-time,Wales,2016/17,Unclassified,400
4145,White,Part-time,Wales,2016/17,First class honours,250
4146,White,Part-time,Wales,2016/17,Upper second class honours,390
4147,White,Part-time,Wales,2016/17,Lower second class honours,245
4148,White,Part-time,Wales,2016/17,Third class honours/Pass,105
4149,White,Part-time,Wales,2016/17,Unclassified,80
4150,White,Full-time,England,2017/18,First class honours,61410
4151,White,Full-time,England,2017/18,Upper second class honours,96600
4152,White,Full-time,England,2017/18,Lower second class honours,28445
4153,White,Full-time,England,2017/18,Third class honours/Pass,4835
4154,White,Full-time,England,2017/18,Unclassified,5325
4155,White,Part-time,England,2017/18,First class honours,3735
4156,White,Part-time,England,2017/18,Upper second class honours,5760
4157,White,Part-time,England,2017/18,Lower second class honours,3785
4158,White,Part-time,England,2017/18,Third class honours/Pass,2095
4159,White,Part-time,England,2017/18,Unclassified,925
4160,White,Full-time,Northern Ireland,2017/18,First class honours,2080
4161,White,Full-time,Northern Ireland,2017/18,Upper second class honours,3835
4162,White,Full-time,Northern Ireland,2017/18,Lower second class honours,1235
4163,White,Full-time,Northern Ireland,2017/18,Third class honours/Pass,130
4164,White,Full-time,Northern Ireland,2017/18,Unclassified,200
4165,White,Part-time,Northern Ireland,2017/18,First class honours,165
4166,White,Part-time,Northern Ireland,2017/18,Upper second class honours,295
4167,White,Part-time,Northern Ireland,2017/18,Lower second class honours,195
4168,White,Part-time,Northern Ireland,2017/18,Third class honours/Pass,70
4169,White,Part-time,Northern Ireland,2017/18,Unclassified,15
4170,White,Full-time,Scotland,2017/18,First class honours,5160
4171,White,Full-time,Scotland,2017/18,Upper second class honours,11000
4172,White,Full-time,Scotland,2017/18,Lower second class honours,3090
4173,White,Full-time,Scotland,2017/18,Third class honours/Pass,495
4174,White,Full-time,Scotland,2017/18,Unclassified,6550
4175,White,Part-time,Scotland,2017/18,First class honours,200
4176,White,Part-time,Scotland,2017/18,Upper second class honours,390
4177,White,Part-time,Scotland,2017/18,Lower second class honours,315
4178,White,Part-time,Scotland,2017/18,Third class honours/Pass,165
4179,White,Part-time,Scotland,2017/18,Unclassified,1090
4180,White,Full-time,Wales,2017/18,First class honours,4275
4181,White,Full-time,Wales,2017/18,Upper second class honours,7440
4182,White,Full-time,Wales,2017/18,Lower second class honours,2835
4183,White,Full-time,Wales,2017/18,Third class honours/Pass,415
4184,White,Full-time,Wales,2017/18,Unclassified,345
4185,White,Part-time,Wales,2017/18,First class honours,255
4186,White,Part-time,Wales,2017/18,Upper second class honours,315
4187,White,Part-time,Wales,2017/18,Lower second class honours,220
4188,White,Part-time,Wales,2017/18,Third class honours/Pass,110
4189,White,Part-time,Wales,2017/18,Unclassified,80
4190,White,Full-time,England,2018/19,First class honours,61870
4191,White,Full-time,England,2018/19,Upper second class honours,95575
4192,White,Full-time,England,2018/19,Lower second class honours,28150
4193,White,Full-time,England,2018/19,Third class honours/Pass,4655
4194,White,Full-time,England,2018/19,Unclassified,5515
4195,White,Part-time,England,2018/19,First class honours,3905
4196,White,Part-time,England,2018/19,Upper second class honours,5925
4197,White,Part-time,England,2018/19,Lower second class honours,3555
4198,White,Part-time,England,2018/19,Third class honours/Pass,1775
4199,White,Part-time,England,2018/19,Unclassified,730
4200,White,Full-time,Northern Ireland,2018/19,First class honours,2070
4201,White,Full-time,Northern Ireland,2018/19,Upper second class honours,4030
4202,White,Full-time,Northern Ireland,2018/19,Lower second class honours,1160
4203,White,Full-time,Northern Ireland,2018/19,Third class honours/Pass,115
4204,White,Full-time,Northern Ireland,2018/19,Unclassified,205
4205,White,Part-time,Northern Ireland,2018/19,First class honours,200
4206,White,Part-time,Northern Ireland,2018/19,Upper second class honours,370
4207,White,Part-time,Northern Ireland,2018/19,Lower second class honours,195
4208,White,Part-time,Northern Ireland,2018/19,Third class honours/Pass,50
4209,White,Part-time,Northern Ireland,2018/19,Unclassified,15
4210,White,Full-time,Scotland,2018/19,First class honours,5405
4211,White,Full-time,Scotland,2018/19,Upper second class honours,10520
4212,White,Full-time,Scotland,2018/19,Lower second class honours,3050
4213,White,Full-time,Scotland,2018/19,Third class honours/Pass,450
4214,White,Full-time,Scotland,2018/19,Unclassified,6720
4215,White,Part-time,Scotland,2018/19,First class honours,270
4216,White,Part-time,Scotland,2018/19,Upper second class honours,530
4217,White,Part-time,Scotland,2018/19,Lower second class honours,300
4218,White,Part-time,Scotland,2018/19,Third class honours/Pass,145
4219,White,Part-time,Scotland,2018/19,Unclassified,1165
4220,White,Full-time,Wales,2018/19,First class honours,4500
4221,White,Full-time,Wales,2018/19,Upper second class honours,7430
4222,White,Full-time,Wales,2018/19,Lower second class honours,2755
4223,White,Full-time,Wales,2018/19,Third class honours/Pass,400
4224,White,Full-time,Wales,2018/19,Unclassified,335
4225,White,Part-time,Wales,2018/19,First class honours,280
4226,White,Part-time,Wales,2018/19,Upper second class honours,350
4227,White,Part-time,Wales,2018/19,Lower second class honours,215
4228,White,Part-time,Wales,2018/19,Third class honours/Pass,95
4229,White,Part-time,Wales,2018/19,Unclassified,40
4230,White,Full-time,England,2019/20,First class honours,73405
4231,White,Full-time,England,2019/20,Upper second class honours,89155
4232,White,Full-time,England,2019/20,Lower second class honours,21365
4233,White,Full-time,England,2019/20,Third class honours/Pass,2895
4234,White,Full-time,England,2019/20,Unclassified,5375
4235,White,Part-time,England,2019/20,First class honours,3360
4236,White,Part-time,England,2019/20,Upper second class honours,3875
4237,White,Part-time,England,2019/20,Lower second class honours,2185
4238,White,Part-time,England,2019/20,Third class honours/Pass,955
4239,White,Part-time,England,2019/20,Unclassified,345
4240,White,Full-time,Northern Ireland,2019/20,First class honours,2345
4241,White,Full-time,Northern Ireland,2019/20,Upper second class honours,3910
4242,White,Full-time,Northern Ireland,2019/20,Lower second class honours,900
4243,White,Full-time,Northern Ireland,2019/20,Third class honours/Pass,55
4244,White,Full-time,Northern Ireland,2019/20,Unclassified,195
4245,White,Part-time,Northern Ireland,2019/20,First class honours,170
4246,White,Part-time,Northern Ireland,2019/20,Upper second class honours,265
4247,White,Part-time,Northern Ireland,2019/20,Lower second class honours,145
4248,White,Part-time,Northern Ireland,2019/20,Third class honours/Pass,40
4249,White,Part-time,Northern Ireland,2019/20,Unclassified,0
4250,White,Full-time,Scotland,2019/20,First class honours,6890
4251,White,Full-time,Scotland,2019/20,Upper second class honours,10130
4252,White,Full-time,Scotland,2019/20,Lower second class honours,2270
4253,White,Full-time,Scotland,2019/20,Third class honours/Pass,360
4254,White,Full-time,Scotland,2019/20,Unclassified,5405
4255,White,Part-time,Scotland,2019/20,First class honours,155
4256,White,Part-time,Scotland,2019/20,Upper second class honours,230
4257,White,Part-time,Scotland,2019/20,Lower second class honours,140
4258,White,Part-time,Scotland,2019/20,Third class honours/Pass,70
4259,White,Part-time,Scotland,2019/20,Unclassified,940
4260,White,Full-time,Wales,2019/20,First class honours,5715
4261,White,Full-time,Wales,2019/20,Upper second class honours,7085
4262,White,Full-time,Wales,2019/20,Lower second class honours,2200
4263,White,Full-time,Wales,2019/20,Third class honours/Pass,340
4264,White,Full-time,Wales,2019/20,Unclassified,310
4265,White,Part-time,Wales,2019/20,First class honours,230
4266,White,Part-time,Wales,2019/20,Upper second class honours,235
