,Total,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
6730,Total,All,All,2014/15,First class honours,69905
6731,Total,All,All,2014/15,Upper second class honours,157185
6732,Total,All,All,2014/15,Lower second class honours,67180
6733,Total,All,All,2014/15,Third class honours/Pass,15420
6734,Total,All,All,2014/15,Unclassified,21530
6735,Total,All,England,2014/15,First class honours,60110
6736,Total,All,England,2014/15,Upper second class honours,133070
6737,Total,All,England,2014/15,Lower second class honours,56795
6738,Total,All,England,2014/15,Third class honours/Pass,13525
6739,Total,All,England,2014/15,Unclassified,11310
6740,Total,All,Northern Ireland,2014/15,First class honours,1630
6741,Total,All,Northern Ireland,2014/15,Upper second class honours,4335
6742,Total,All,Northern Ireland,2014/15,Lower second class honours,1880
6743,Total,All,Northern Ireland,2014/15,Third class honours/Pass,280
6744,Total,All,Northern Ireland,2014/15,Unclassified,285
6745,Total,All,Scotland,2014/15,First class honours,4525
6746,Total,All,Scotland,2014/15,Upper second class honours,11165
6747,Total,All,Scotland,2014/15,Lower second class honours,4110
6748,Total,All,Scotland,2014/15,Third class honours/Pass,740
6749,Total,All,Scotland,2014/15,Unclassified,9320
6750,Total,All,Wales,2014/15,First class honours,3640
6751,Total,All,Wales,2014/15,Upper second class honours,8615
6752,Total,All,Wales,2014/15,Lower second class honours,4395
6753,Total,All,Wales,2014/15,Third class honours/Pass,875
6754,Total,All,Wales,2014/15,Unclassified,610
6755,Total,Full-time,All,2014/15,First class honours,64410
6756,Total,Full-time,All,2014/15,Upper second class honours,145875
6757,Total,Full-time,All,2014/15,Lower second class honours,58365
6758,Total,Full-time,All,2014/15,Third class honours/Pass,10770
6759,Total,Full-time,All,2014/15,Unclassified,17305
6760,Total,Full-time,England,2014/15,First class honours,55180
6761,Total,Full-time,England,2014/15,Upper second class honours,123015
6762,Total,Full-time,England,2014/15,Lower second class honours,48935
6763,Total,Full-time,England,2014/15,Third class honours/Pass,9275
6764,Total,Full-time,England,2014/15,Unclassified,9115
6765,Total,Full-time,Northern Ireland,2014/15,First class honours,1515
6766,Total,Full-time,Northern Ireland,2014/15,Upper second class honours,3960
6767,Total,Full-time,Northern Ireland,2014/15,Lower second class honours,1580
6768,Total,Full-time,Northern Ireland,2014/15,Third class honours/Pass,200
6769,Total,Full-time,Northern Ireland,2014/15,Unclassified,260
6770,Total,Full-time,Scotland,2014/15,First class honours,4330
6771,Total,Full-time,Scotland,2014/15,Upper second class honours,10760
6772,Total,Full-time,Scotland,2014/15,Lower second class honours,3800
6773,Total,Full-time,Scotland,2014/15,Third class honours/Pass,590
6774,Total,Full-time,Scotland,2014/15,Unclassified,7425
6775,Total,Full-time,Wales,2014/15,First class honours,3390
6776,Total,Full-time,Wales,2014/15,Upper second class honours,8145
6777,Total,Full-time,Wales,2014/15,Lower second class honours,4050
6778,Total,Full-time,Wales,2014/15,Third class honours/Pass,695
6779,Total,Full-time,Wales,2014/15,Unclassified,505
6780,Total,Part-time,All,2014/15,First class honours,5490
6781,Total,Part-time,All,2014/15,Upper second class honours,11310
6782,Total,Part-time,All,2014/15,Lower second class honours,8820
6783,Total,Part-time,All,2014/15,Third class honours/Pass,4655
6784,Total,Part-time,All,2014/15,Unclassified,4220
6785,Total,Part-time,England,2014/15,First class honours,4930
6786,Total,Part-time,England,2014/15,Upper second class honours,10060
6787,Total,Part-time,England,2014/15,Lower second class honours,7860
6788,Total,Part-time,England,2014/15,Third class honours/Pass,4250
6789,Total,Part-time,England,2014/15,Unclassified,2190
6790,Total,Part-time,Northern Ireland,2014/15,First class honours,115
6791,Total,Part-time,Northern Ireland,2014/15,Upper second class honours,375
6792,Total,Part-time,Northern Ireland,2014/15,Lower second class honours,300
6793,Total,Part-time,Northern Ireland,2014/15,Third class honours/Pass,80
6794,Total,Part-time,Northern Ireland,2014/15,Unclassified,25
6795,Total,Part-time,Scotland,2014/15,First class honours,195
6796,Total,Part-time,Scotland,2014/15,Upper second class honours,405
6797,Total,Part-time,Scotland,2014/15,Lower second class honours,315
6798,Total,Part-time,Scotland,2014/15,Third class honours/Pass,150
6799,Total,Part-time,Scotland,2014/15,Unclassified,1895
6800,Total,Part-time,Wales,2014/15,First class honours,255
6801,Total,Part-time,Wales,2014/15,Upper second class honours,470
6802,Total,Part-time,Wales,2014/15,Lower second class honours,345
6803,Total,Part-time,Wales,2014/15,Third class honours/Pass,175
6804,Total,Part-time,Wales,2014/15,Unclassified,110
6805,Total,All,All,2015/16,First class honours,75780
6806,Total,All,All,2015/16,Upper second class honours,159980
6807,Total,All,All,2015/16,Lower second class honours,65625
6808,Total,All,All,2015/16,Third class honours/Pass,15275
6809,Total,All,All,2015/16,Unclassified,20590
6810,Total,All,England,2015/16,First class honours,64765
6811,Total,All,England,2015/16,Upper second class honours,135145
6812,Total,All,England,2015/16,Lower second class honours,55800
6813,Total,All,England,2015/16,Third class honours/Pass,13550
6814,Total,All,England,2015/16,Unclassified,10920
6815,Total,All,Northern Ireland,2015/16,First class honours,1925
6816,Total,All,Northern Ireland,2015/16,Upper second class honours,4475
6817,Total,All,Northern Ireland,2015/16,Lower second class honours,1825
6818,Total,All,Northern Ireland,2015/16,Third class honours/Pass,285
6819,Total,All,Northern Ireland,2015/16,Unclassified,285
6820,Total,All,Scotland,2015/16,First class honours,5110
6821,Total,All,Scotland,2015/16,Upper second class honours,11790
6822,Total,All,Scotland,2015/16,Lower second class honours,4050
6823,Total,All,Scotland,2015/16,Third class honours/Pass,745
6824,Total,All,Scotland,2015/16,Unclassified,8860
6825,Total,All,Wales,2015/16,First class honours,3985
6826,Total,All,Wales,2015/16,Upper second class honours,8575
6827,Total,All,Wales,2015/16,Lower second class honours,3950
6828,Total,All,Wales,2015/16,Third class honours/Pass,700
6829,Total,All,Wales,2015/16,Unclassified,525
6830,Total,Full-time,All,2015/16,First class honours,70685
6831,Total,Full-time,All,2015/16,Upper second class honours,149790
6832,Total,Full-time,All,2015/16,Lower second class honours,57660
6833,Total,Full-time,All,2015/16,Third class honours/Pass,10770
6834,Total,Full-time,All,2015/16,Unclassified,17070
6835,Total,Full-time,England,2015/16,First class honours,60265
6836,Total,Full-time,England,2015/16,Upper second class honours,126155
6837,Total,Full-time,England,2015/16,Lower second class honours,48610
6838,Total,Full-time,England,2015/16,Third class honours/Pass,9390
6839,Total,Full-time,England,2015/16,Unclassified,9020
6840,Total,Full-time,Northern Ireland,2015/16,First class honours,1795
6841,Total,Full-time,Northern Ireland,2015/16,Upper second class honours,4115
6842,Total,Full-time,Northern Ireland,2015/16,Lower second class honours,1615
6843,Total,Full-time,Northern Ireland,2015/16,Third class honours/Pass,205
6844,Total,Full-time,Northern Ireland,2015/16,Unclassified,250
6845,Total,Full-time,Scotland,2015/16,First class honours,4910
6846,Total,Full-time,Scotland,2015/16,Upper second class honours,11340
6847,Total,Full-time,Scotland,2015/16,Lower second class honours,3720
6848,Total,Full-time,Scotland,2015/16,Third class honours/Pass,595
6849,Total,Full-time,Scotland,2015/16,Unclassified,7365
6850,Total,Full-time,Wales,2015/16,First class honours,3715
