,Disability Status,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
3130,Known disability,Full-time,England,2014/15,First class honours,6575
3131,Known disability,Full-time,England,2014/15,Upper second class honours,16370
3132,Known disability,Full-time,England,2014/15,Lower second class honours,7135
3133,Known disability,Full-time,England,2014/15,Third class honours/Pass,1420
3134,Known disability,Full-time,England,2014/15,Unclassified,1185
3135,Known disability,Part-time,England,2014/15,First class honours,510
3136,Known disability,Part-time,England,2014/15,Upper second class honours,1220
3137,Known disability,Part-time,England,2014/15,Lower second class honours,1115
3138,Known disability,Part-time,England,2014/15,Third class honours/Pass,550
3139,Known disability,Part-time,England,2014/15,Unclassified,315
3140,Known disability,Full-time,Northern Ireland,2014/15,First class honours,95
3141,Known disability,Full-time,Northern Ireland,2014/15,Upper second class honours,305
3142,Known disability,Full-time,Northern Ireland,2014/15,Lower second class honours,135
3143,Known disability,Full-time,Northern Ireland,2014/15,Third class honours/Pass,20
3144,Known disability,Full-time,Northern Ireland,2014/15,Unclassified,15
3145,Known disability,Part-time,Northern Ireland,2014/15,First class honours,10
3146,Known disability,Part-time,Northern Ireland,2014/15,Upper second class honours,40
3147,Known disability,Part-time,Northern Ireland,2014/15,Lower second class honours,55
3148,Known disability,Part-time,Northern Ireland,2014/15,Third class honours/Pass,20
3149,Known disability,Part-time,Northern Ireland,2014/15,Unclassified,5
3150,Known disability,Full-time,Scotland,2014/15,First class honours,505
3151,Known disability,Full-time,Scotland,2014/15,Upper second class honours,1230
3152,Known disability,Full-time,Scotland,2014/15,Lower second class honours,515
3153,Known disability,Full-time,Scotland,2014/15,Third class honours/Pass,100
3154,Known disability,Full-time,Scotland,2014/15,Unclassified,825
3155,Known disability,Part-time,Scotland,2014/15,First class honours,35
3156,Known disability,Part-time,Scotland,2014/15,Upper second class honours,65
3157,Known disability,Part-time,Scotland,2014/15,Lower second class honours,45
3158,Known disability,Part-time,Scotland,2014/15,Third class honours/Pass,40
3159,Known disability,Part-time,Scotland,2014/15,Unclassified,210
3160,Known disability,Full-time,Wales,2014/15,First class honours,440
3161,Known disability,Full-time,Wales,2014/15,Upper second class honours,1105
3162,Known disability,Full-time,Wales,2014/15,Lower second class honours,665
3163,Known disability,Full-time,Wales,2014/15,Third class honours/Pass,140
3164,Known disability,Full-time,Wales,2014/15,Unclassified,70
3165,Known disability,Part-time,Wales,2014/15,First class honours,35
3166,Known disability,Part-time,Wales,2014/15,Upper second class honours,80
3167,Known disability,Part-time,Wales,2014/15,Lower second class honours,50
3168,Known disability,Part-time,Wales,2014/15,Third class honours/Pass,30
3169,Known disability,Part-time,Wales,2014/15,Unclassified,15
3170,Known disability,Full-time,England,2015/16,First class honours,7505
3171,Known disability,Full-time,England,2015/16,Upper second class honours,17755
3172,Known disability,Full-time,England,2015/16,Lower second class honours,7440
3173,Known disability,Full-time,England,2015/16,Third class honours/Pass,1445
3174,Known disability,Full-time,England,2015/16,Unclassified,1245
3175,Known disability,Part-time,England,2015/16,First class honours,510
3176,Known disability,Part-time,England,2015/16,Upper second class honours,1200
3177,Known disability,Part-time,England,2015/16,Lower second class honours,1070
3178,Known disability,Part-time,England,2015/16,Third class honours/Pass,590
3179,Known disability,Part-time,England,2015/16,Unclassified,275
3180,Known disability,Full-time,Northern Ireland,2015/16,First class honours,145
3181,Known disability,Full-time,Northern Ireland,2015/16,Upper second class honours,380
3182,Known disability,Full-time,Northern Ireland,2015/16,Lower second class honours,175
3183,Known disability,Full-time,Northern Ireland,2015/16,Third class honours/Pass,20
3184,Known disability,Full-time,Northern Ireland,2015/16,Unclassified,15
3185,Known disability,Part-time,Northern Ireland,2015/16,First class honours,25
3186,Known disability,Part-time,Northern Ireland,2015/16,Upper second class honours,55
3187,Known disability,Part-time,Northern Ireland,2015/16,Lower second class honours,30
3188,Known disability,Part-time,Northern Ireland,2015/16,Third class honours/Pass,10
3189,Known disability,Part-time,Northern Ireland,2015/16,Unclassified,10
3190,Known disability,Full-time,Scotland,2015/16,First class honours,570
3191,Known disability,Full-time,Scotland,2015/16,Upper second class honours,1380
3192,Known disability,Full-time,Scotland,2015/16,Lower second class honours,545
3193,Known disability,Full-time,Scotland,2015/16,Third class honours/Pass,100
3194,Known disability,Full-time,Scotland,2015/16,Unclassified,905
3195,Known disability,Part-time,Scotland,2015/16,First class honours,25
3196,Known disability,Part-time,Scotland,2015/16,Upper second class honours,70
3197,Known disability,Part-time,Scotland,2015/16,Lower second class honours,55
3198,Known disability,Part-time,Scotland,2015/16,Third class honours/Pass,40
3199,Known disability,Part-time,Scotland,2015/16,Unclassified,155
3200,Known disability,Full-time,Wales,2015/16,First class honours,490
3201,Known disability,Full-time,Wales,2015/16,Upper second class honours,1135
3202,Known disability,Full-time,Wales,2015/16,Lower second class honours,615
3203,Known disability,Full-time,Wales,2015/16,Third class honours/Pass,120
3204,Known disability,Full-time,Wales,2015/16,Unclassified,65
3205,Known disability,Part-time,Wales,2015/16,First class honours,20
3206,Known disability,Part-time,Wales,2015/16,Upper second class honours,50
3207,Known disability,Part-time,Wales,2015/16,Lower second class honours,35
3208,Known disability,Part-time,Wales,2015/16,Third class honours/Pass,20
3209,Known disability,Part-time,Wales,2015/16,Unclassified,15
3210,Known disability,Full-time,England,2016/17,First class honours,9260
3211,Known disability,Full-time,England,2016/17,Upper second class honours,19060
3212,Known disability,Full-time,England,2016/17,Lower second class honours,7685
3213,Known disability,Full-time,England,2016/17,Third class honours/Pass,1560
3214,Known disability,Full-time,England,2016/17,Unclassified,1215
3215,Known disability,Part-time,England,2016/17,First class honours,585
3216,Known disability,Part-time,England,2016/17,Upper second class honours,1300
3217,Known disability,Part-time,England,2016/17,Lower second class honours,1125
3218,Known disability,Part-time,England,2016/17,Third class honours/Pass,665
3219,Known disability,Part-time,England,2016/17,Unclassified,290
3220,Known disability,Full-time,Northern Ireland,2016/17,First class honours,175
3221,Known disability,Full-time,Northern Ireland,2016/17,Upper second class honours,450
3222,Known disability,Full-time,Northern Ireland,2016/17,Lower second class honours,210
3223,Known disability,Full-time,Northern Ireland,2016/17,Third class honours/Pass,25
3224,Known disability,Full-time,Northern Ireland,2016/17,Unclassified,25
3225,Known disability,Part-time,Northern Ireland,2016/17,First class honours,20
3226,Known disability,Part-time,Northern Ireland,2016/17,Upper second class honours,55
3227,Known disability,Part-time,Northern Ireland,2016/17,Lower second class honours,30
3228,Known disability,Part-time,Northern Ireland,2016/17,Third class honours/Pass,15
3229,Known disability,Part-time,Northern Ireland,2016/17,Unclassified,10
3230,Known disability,Full-time,Scotland,2016/17,First class honours,620
3231,Known disability,Full-time,Scotland,2016/17,Upper second class honours,1585
3232,Known disability,Full-time,Scotland,2016/17,Lower second class honours,535
