,Sex,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
0,Female,Full-time,England,2014/15,First class honours,31210
1,Female,Full-time,England,2014/15,Upper second class honours,73215
2,Female,Full-time,England,2014/15,Lower second class honours,26570
3,Female,Full-time,England,2014/15,Third class honours/Pass,4620
4,Female,Full-time,England,2014/15,Unclassified,4825
5,Female,Part-time,England,2014/15,First class honours,2695
6,Female,Part-time,England,2014/15,Upper second class honours,6230
7,Female,Part-time,England,2014/15,Lower second class honours,4950
8,Female,Part-time,England,2014/15,Third class honours/Pass,2610
9,Female,Part-time,England,2014/15,Unclassified,1330
10,Female,Full-time,Northern Ireland,2014/15,First class honours,885
11,Female,Full-time,Northern Ireland,2014/15,Upper second class honours,2380
12,Female,Full-time,Northern Ireland,2014/15,Lower second class honours,840
13,Female,Full-time,Northern Ireland,2014/15,Third class honours/Pass,95
14,Female,Full-time,Northern Ireland,2014/15,Unclassified,150
15,Female,Part-time,Northern Ireland,2014/15,First class honours,55
16,Female,Part-time,Northern Ireland,2014/15,Upper second class honours,220
17,Female,Part-time,Northern Ireland,2014/15,Lower second class honours,170
18,Female,Part-time,Northern Ireland,2014/15,Third class honours/Pass,35
19,Female,Part-time,Northern Ireland,2014/15,Unclassified,15
20,Female,Full-time,Scotland,2014/15,First class honours,2395
21,Female,Full-time,Scotland,2014/15,Upper second class honours,6385
22,Female,Full-time,Scotland,2014/15,Lower second class honours,2070
23,Female,Full-time,Scotland,2014/15,Third class honours/Pass,260
24,Female,Full-time,Scotland,2014/15,Unclassified,4705
25,Female,Part-time,Scotland,2014/15,First class honours,105
26,Female,Part-time,Scotland,2014/15,Upper second class honours,230
27,Female,Part-time,Scotland,2014/15,Lower second class honours,170
28,Female,Part-time,Scotland,2014/15,Third class honours/Pass,85
29,Female,Part-time,Scotland,2014/15,Unclassified,1225
30,Female,Full-time,Wales,2014/15,First class honours,2030
31,Female,Full-time,Wales,2014/15,Upper second class honours,4830
32,Female,Full-time,Wales,2014/15,Lower second class honours,2180
33,Female,Full-time,Wales,2014/15,Third class honours/Pass,350
34,Female,Full-time,Wales,2014/15,Unclassified,290
35,Female,Part-time,Wales,2014/15,First class honours,140
36,Female,Part-time,Wales,2014/15,Upper second class honours,265
37,Female,Part-time,Wales,2014/15,Lower second class honours,230
38,Female,Part-time,Wales,2014/15,Third class honours/Pass,100
39,Female,Part-time,Wales,2014/15,Unclassified,75
40,Female,Full-time,England,2015/16,First class honours,34940
41,Female,Full-time,England,2015/16,Upper second class honours,75170
42,Female,Full-time,England,2015/16,Lower second class honours,26535
43,Female,Full-time,England,2015/16,Third class honours/Pass,4680
44,Female,Full-time,England,2015/16,Unclassified,4855
45,Female,Part-time,England,2015/16,First class honours,2450
46,Female,Part-time,England,2015/16,Upper second class honours,5440
47,Female,Part-time,England,2015/16,Lower second class honours,4465
48,Female,Part-time,England,2015/16,Third class honours/Pass,2465
49,Female,Part-time,England,2015/16,Unclassified,1145
50,Female,Full-time,Northern Ireland,2015/16,First class honours,1065
51,Female,Full-time,Northern Ireland,2015/16,Upper second class honours,2490
52,Female,Full-time,Northern Ireland,2015/16,Lower second class honours,815
53,Female,Full-time,Northern Ireland,2015/16,Third class honours/Pass,80
54,Female,Full-time,Northern Ireland,2015/16,Unclassified,155
55,Female,Part-time,Northern Ireland,2015/16,First class honours,65
56,Female,Part-time,Northern Ireland,2015/16,Upper second class honours,220
57,Female,Part-time,Northern Ireland,2015/16,Lower second class honours,115
58,Female,Part-time,Northern Ireland,2015/16,Third class honours/Pass,40
59,Female,Part-time,Northern Ireland,2015/16,Unclassified,20
60,Female,Full-time,Scotland,2015/16,First class honours,2750
61,Female,Full-time,Scotland,2015/16,Upper second class honours,6775
62,Female,Full-time,Scotland,2015/16,Lower second class honours,2015
63,Female,Full-time,Scotland,2015/16,Third class honours/Pass,260
64,Female,Full-time,Scotland,2015/16,Unclassified,4670
65,Female,Part-time,Scotland,2015/16,First class honours,105
66,Female,Part-time,Scotland,2015/16,Upper second class honours,255
67,Female,Part-time,Scotland,2015/16,Lower second class honours,185
68,Female,Part-time,Scotland,2015/16,Third class honours/Pass,100
69,Female,Part-time,Scotland,2015/16,Unclassified,910
70,Female,Full-time,Wales,2015/16,First class honours,2220
71,Female,Full-time,Wales,2015/16,Upper second class honours,4765
72,Female,Full-time,Wales,2015/16,Lower second class honours,1875
73,Female,Full-time,Wales,2015/16,Third class honours/Pass,285
74,Female,Full-time,Wales,2015/16,Unclassified,235
75,Female,Part-time,Wales,2015/16,First class honours,115
76,Female,Part-time,Wales,2015/16,Upper second class honours,220
77,Female,Part-time,Wales,2015/16,Lower second class honours,145
78,Female,Part-time,Wales,2015/16,Third class honours/Pass,60
79,Female,Part-time,Wales,2015/16,Unclassified,60
80,Female,Full-time,England,2016/17,First class honours,40380
81,Female,Full-time,England,2016/17,Upper second class honours,76770
82,Female,Full-time,England,2016/17,Lower second class honours,25590
83,Female,Full-time,England,2016/17,Third class honours/Pass,4975
84,Female,Full-time,England,2016/17,Unclassified,4515
85,Female,Part-time,England,2016/17,First class honours,2535
86,Female,Part-time,England,2016/17,Upper second class honours,5185
87,Female,Part-time,England,2016/17,Lower second class honours,4260
88,Female,Part-time,England,2016/17,Third class honours/Pass,2440
89,Female,Part-time,England,2016/17,Unclassified,1030
90,Female,Full-time,Northern Ireland,2016/17,First class honours,1110
91,Female,Full-time,Northern Ireland,2016/17,Upper second class honours,2530
92,Female,Full-time,Northern Ireland,2016/17,Lower second class honours,810
93,Female,Full-time,Northern Ireland,2016/17,Third class honours/Pass,55
94,Female,Full-time,Northern Ireland,2016/17,Unclassified,150
95,Female,Part-time,Northern Ireland,2016/17,First class honours,60
96,Female,Part-time,Northern Ireland,2016/17,Upper second class honours,215
97,Female,Part-time,Northern Ireland,2016/17,Lower second class honours,125
98,Female,Part-time,Northern Ireland,2016/17,Third class honours/Pass,40
99,Female,Part-time,Northern Ireland,2016/17,Unclassified,15
100,Female,Full-time,Scotland,2016/17,First class honours,2865
101,Female,Full-time,Scotland,2016/17,Upper second class honours,6960
102,Female,Full-time,Scotland,2016/17,Lower second class honours,1885
103,Female,Full-time,Scotland,2016/17,Third class honours/Pass,300
104,Female,Full-time,Scotland,2016/17,Unclassified,4830
105,Female,Part-time,Scotland,2016/17,First class honours,115
106,Female,Part-time,Scotland,2016/17,Upper second class honours,285
107,Female,Part-time,Scotland,2016/17,Lower second class honours,210
108,Female,Part-time,Scotland,2016/17,Third class honours/Pass,100
109,Female,Part-time,Scotland,2016/17,Unclassified,820
110,Female,Full-time,Wales,2016/17,First class honours,2605
111,Female,Full-time,Wales,2016/17,Upper second class honours,4885
112,Female,Full-time,Wales,2016/17,Lower second class honours,1815
113,Female,Full-time,Wales,2016/17,Third class honours/Pass,300
114,Female,Full-time,Wales,2016/17,Unclassified,275
115,Female,Part-time,Wales,2016/17,First class honours,120
116,Female,Part-time,Wales,2016/17,Upper second class honours,215
117,Female,Part-time,Wales,2016/17,Lower second class honours,150
118,Female,Part-time,Wales,2016/17,Third class honours/Pass,65
119,Female,Part-time,Wales,2016/17,Unclassified,45
120,Female,Full-time,England,2017/18,First class honours,45115
121,Female,Full-time,England,2017/18,Upper second class honours,77775
122,Female,Full-time,England,2017/18,Lower second class honours,25260
123,Female,Full-time,England,2017/18,Third class honours/Pass,4690
124,Female,Full-time,England,2017/18,Unclassified,4590
125,Female,Part-time,England,2017/18,First class honours,2200
126,Female,Part-time,England,2017/18,Upper second class honours,4155
127,Female,Part-time,England,2017/18,Lower second class honours,3505
128,Female,Part-time,England,2017/18,Third class honours/Pass,2205
129,Female,Part-time,England,2017/18,Unclassified,760
130,Female,Full-time,Northern Ireland,2017/18,First class honours,1245
131,Female,Full-time,Northern Ireland,2017/18,Upper second class honours,2325
132,Female,Full-time,Northern Ireland,2017/18,Lower second class honours,670
133,Female,Full-time,Northern Ireland,2017/18,Third class honours/Pass,55
134,Female,Full-time,Northern Ireland,2017/18,Unclassified,135
135,Female,Part-time,Northern Ireland,2017/18,First class honours,90
136,Female,Part-time,Northern Ireland,2017/18,Upper second class honours,170
137,Female,Part-time,Northern Ireland,2017/18,Lower second class honours,130
138,Female,Part-time,Northern Ireland,2017/18,Third class honours/Pass,35
139,Female,Part-time,Northern Ireland,2017/18,Unclassified,5
140,Female,Full-time,Scotland,2017/18,First class honours,3155
141,Female,Full-time,Scotland,2017/18,Upper second class honours,7075
142,Female,Full-time,Scotland,2017/18,Lower second class honours,1880
143,Female,Full-time,Scotland,2017/18,Third class honours/Pass,280
144,Female,Full-time,Scotland,2017/18,Unclassified,4885
145,Female,Part-time,Scotland,2017/18,First class honours,110
146,Female,Part-time,Scotland,2017/18,Upper second class honours,220
147,Female,Part-time,Scotland,2017/18,Lower second class honours,185
148,Female,Part-time,Scotland,2017/18,Third class honours/Pass,110
149,Female,Part-time,Scotland,2017/18,Unclassified,755
150,Female,Full-time,Wales,2017/18,First class honours,2770
151,Female,Full-time,Wales,2017/18,Upper second class honours,4765
152,Female,Full-time,Wales,2017/18,Lower second class honours,1640
153,Female,Full-time,Wales,2017/18,Third class honours/Pass,270
154,Female,Full-time,Wales,2017/18,Unclassified,235
155,Female,Part-time,Wales,2017/18,First class honours,125
156,Female,Part-time,Wales,2017/18,Upper second class honours,170
157,Female,Part-time,Wales,2017/18,Lower second class honours,135
158,Female,Part-time,Wales,2017/18,Third class honours/Pass,65
159,Female,Part-time,Wales,2017/18,Unclassified,60
160,Female,Full-time,England,2018/19,First class honours,46870
161,Female,Full-time,England,2018/19,Upper second class honours,78380
162,Female,Full-time,England,2018/19,Lower second class honours,25550
163,Female,Full-time,England,2018/19,Third class honours/Pass,4710
